epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,5151.85,1.6627,0.94309,0.98803,0.83365,0.97671,0.995,0.57469,1.63845,0.99836,1.17703,0.000813601,0.000813601,0.000813601
89,5209.74,1.77535,0.87926,1.01644,0.83365,0.97671,0.995,0.57469,1.63845,0.99836,1.17703,0.000806528,0.000806528,0.000806528
90,5266.97,1.78314,0.94943,0.98114,0.83365,0.97671,0.995,0.57469,1.63845,0.99836,1.17703,0.000799454,0.000799454,0.000799454
91,5324.03,1.88981,0.93171,0.83083,0.78695,0.96828,0.9675,0.47819,1.77113,1.02437,1.19531,0.00079238,0.00079238,0.00079238
92,5380.95,1.77682,0.88333,0.91209,0.78695,0.96828,0.9675,0.47819,1.77113,1.02437,1.19531,0.000785307,0.000785307,0.000785307
93,5438.21,1.72231,0.89183,0.97121,0.78695,0.96828,0.9675,0.47819,1.77113,1.02437,1.19531,0.000778233,0.000778233,0.000778233
94,5495.38,1.75348,0.84707,0.87029,0.81103,0.88889,0.94,0.52761,1.70885,1.02056,1.2552,0.00077116,0.00077116,0.00077116
95,5553.99,1.82547,0.88633,0.91252,0.81103,0.88889,0.94,0.52761,1.70885,1.02056,1.2552,0.000764086,0.000764086,0.000764086
96,5612.81,1.74724,0.79009,0.85993,0.81103,0.88889,0.94,0.52761,1.70885,1.02056,1.2552,0.000757013,0.000757013,0.000757013
97,5672.18,1.83208,0.91906,0.93132,0.81103,0.88889,0.94,0.52761,1.70885,1.02056,1.2552,0.000749939,0.000749939,0.000749939
98,5732.28,1.85483,0.80749,0.88852,0.72955,0.88889,0.94,0.43908,1.84438,1.27053,1.19347,0.000742866,0.000742866,0.000742866
99,5791.75,1.78664,0.85798,0.90239,0.72955,0.88889,0.94,0.43908,1.84438,1.27053,1.19347,0.000735792,0.000735792,0.000735792
100,5850.71,1.75622,0.81816,0.93821,0.72955,0.88889,0.94,0.43908,1.84438,1.27053,1.19347,0.000728719,0.000728719,0.000728719
101,5909.58,1.71735,0.78606,0.90819,0.78647,0.88889,0.9125,0.46592,1.73717,1.38574,1.12756,0.000721645,0.000721645,0.000721645
102,5968.49,1.89627,0.93613,0.89513,0.78647,0.88889,0.9125,0.46592,1.73717,1.38574,1.12756,0.000714571,0.000714571,0.000714571
103,6028.35,1.77143,0.91124,0.92014,0.78647,0.88889,0.9125,0.46592,1.73717,1.38574,1.12756,0.000707498,0.000707498,0.000707498
104,6087.85,1.7163,0.79874,0.90437,0.79127,1,0.995,0.60853,1.56897,1.17457,1.19841,0.000700424,0.000700424,0.000700424
105,6146,1.62043,0.81785,0.91071,0.79127,1,0.995,0.60853,1.56897,1.17457,1.19841,0.000693351,0.000693351,0.000693351
106,6204.58,1.63105,0.85505,0.90893,0.79127,1,0.995,0.60853,1.56897,1.17457,1.19841,0.000686277,0.000686277,0.000686277
107,6262.87,1.78763,0.78396,0.85637,0.89837,1,0.995,0.51052,1.81926,1.04944,1.21188,0.000679204,0.000679204,0.000679204
108,6321.67,1.68592,0.82389,0.8672,0.89837,1,0.995,0.51052,1.81926,1.04944,1.21188,0.00067213,0.00067213,0.00067213
109,6380.36,1.77139,0.86294,0.90338,0.89837,1,0.995,0.51052,1.81926,1.04944,1.21188,0.000665057,0.000665057,0.000665057
110,6438.98,1.67124,0.79648,0.88725,0.93135,1,0.995,0.50682,1.73363,1.05537,1.15538,0.000657983,0.000657983,0.000657983
111,6497.56,1.62685,0.76521,0.86681,0.93135,1,0.995,0.50682,1.73363,1.05537,1.15538,0.000650909,0.000650909,0.000650909
112,6554.79,1.60768,0.79065,0.84456,0.93135,1,0.995,0.50682,1.73363,1.05537,1.15538,0.000643836,0.000643836,0.000643836
113,6613.51,1.69713,0.76459,0.89392,0.93135,1,0.995,0.50682,1.73363,1.05537,1.15538,0.000636762,0.000636762,0.000636762
114,6671.95,1.66279,0.76017,0.86156,0.94231,0.97017,0.995,0.54654,1.68446,0.86745,1.1241,0.000629689,0.000629689,0.000629689
115,6729.24,1.59616,0.77272,0.8625,0.94231,0.97017,0.995,0.54654,1.68446,0.86745,1.1241,0.000622615,0.000622615,0.000622615
116,6787.04,1.67527,0.77288,0.84282,0.94231,0.97017,0.995,0.54654,1.68446,0.86745,1.1241,0.000615542,0.000615542,0.000615542
117,6844.88,1.80443,0.79827,0.90828,0.97084,0.91475,0.995,0.60446,1.57306,0.85723,1.09673,0.000608468,0.000608468,0.000608468
118,6901.92,1.58221,0.7331,0.92502,0.97084,0.91475,0.995,0.60446,1.57306,0.85723,1.09673,0.000601395,0.000601395,0.000601395
